Country,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Cyprus,6.98391,7.46478,7.94281,7.70933,7.42975,7.26591,7.21978,7.76279,7.16652,7.12057,7.26179,6.99728,7.03888,6.60752,6.60126,6.49042,6.73245,6.69973,6.59058,6.0544,6.07012,5.7809,5.60648,5.69785,4.97794,4.40857,4.56196,4.46439,4.48494,4.42164,4.68135,4.41649,4.17217,4.01122,3.74772,3.04758,2.99715,3.93774,3.8305,3.03585,2.77885,2.75879,2.71429,2.30698,2.12385,1.98192,1.73011,1.70687,1.56788,1.50142,1.54891
Denmark,8.3464,8.05757,8.54802,9.20134,10.1163,8.69075,9.36202,10.3393,9.16421,9.15042,8.85088,9.57025,10.5705,10.7956,13.0346,10.5364,11.7268,11.0159,10.5038,11.8762,9.67654,9.50438,10.6946,11.3335,11.4381,11.6879,9.89848,9.76926,10.4468,10.0676,11.754,12.2448,11.9085,12.0825,11.8238,10.9962,10.9059,11.7877,11.94,11.4972,12.5997,12.143,10.9613,10.1493,10.449,9.31658,9.14639,8.68983,7.94511,6.88126,6.50268
Djibouti,0.646314,0.646961,0.647304,0.610639,0.619281,0.609132,0.598576,0.539061,0.536922,0.524762,0.557999,0.623489,0.586785,0.639689,0.645626,0.646144,0.657236,0.668389,0.658387,0.652482,0.67755,0.726691,0.699285,0.813959,0.851957,0.881684,0.877773,0.885427,0.904412,0.801763,0.969709,1.07892,0.654004,0.712936,0.79618,0.883047,0.947143,0.942921,1.06394,0.952614,0.872729,0.562697,0.86154,0.669767,1.13413,1.05261,0.783955,0.65598,0.506062,0.497226,0.482292
Dominica,1.90649,1.80778,1.81066,2.1237,1.55623,1.61148,1.56431,1.62261,1.47088,1.63188,1.47356,1.1541,1.09548,1.14017,1.03084,1.13041,0.976195,0.875486,0.826622,0.828127,0.827205,0.823559,0.766695,0.65873,0.652804,0.647352,0.592926,0.539625,0.536625,0.486494,0.486901,0.440492,0.345762,0.349661,0.40381,0.40693,0.408517,0.357781,0.357821,0.358676,0.361149,0.261138,0.318676,0.325079,0.22122,0.22553,0.229471,0.233121,0.177481,0.180241,0.183301
Dominican Republic,2.09291,2.05605,2.15578,2.2288,2.18296,2.10325,2.04032,2.41292,2.40615,2.29956,2.32208,2.21279,2.22619,2.20913,2.16129,2.01874,1.61811,1.553,1.48617,1.37108,1.32101,1.46029,1.4143,1.43238,1.22721,1.11803,1.16648,1.26809,1.03932,1.03452,1.10846,1.19645,0.980189,1.0342,1.19522,1.22666,1.27352,1.21525,0.978064,0.757569,0.687372,0.603796,0.550342,0.378542,0.415729,0.396839,0.462972,0.341814,0.35113,0.300881,0.314461
East Asia & Pacific (all income levels),5.46479,5.16596,4.92476,4.83209,4.635,4.36745,4.16039,3.77145,3.36076,3.24855,3.212,3.12667,3.11048,3.40447,3.39538,3.28607,3.13609,3.0114,2.89409,2.80313,2.72556,2.65234,2.60902,2.44871,2.37203,2.32468,2.2523,2.13687,2.10372,2.06169,2.11298,2.14744,2.09893,2.00814,1.89779,1.83547,1.77155,1.79411,1.72112,1.65567,1.57453,1.31078,1.15086,1.06263,1.07791,1.01963,0.961885,0.93326,0.91306,1.01776,1.18764
East Asia & Pacific (developing only),4.87417,4.59034,4.25472,4.12405,3.92213,3.62145,3.36773,2.9492,2.49063,2.38272,2.3249,2.26473,2.26776,2.53002,2.54032,2.45479,2.29359,2.20044,2.08488,2.01572,1.93014,1.89069,1.88037,1.77489,1.68831,1.63184,1.53426,1.44619,1.39239,1.31643,1.34442,1.37923,1.3676,1.24999,1.15168,1.11873,0.996271,1.00327,0.980003,0.947717,0.865111,0.677261,0.575136,0.540168,0.63848,0.594339,0.559713,0.566176,0.583179,0.725752,0.995389
Ecuador,2.1756,2.06505,2.04444,2.15573,2.11702,2.17085,2.11822,1.99727,1.89485,1.83452,1.67096,1.73128,1.84592,1.54893,2.06716,2.01598,1.23133,2.23208,2.10439,1.5913,1.66297,2.04994,1.78963,1.60511,1.66286,2.16819,2.43145,2.29295,2.3185,2.05741,1.69964,1.57853,1.38839,1.02349,1.13939,1.06273,0.903502,0.802492,0.720595,0.681486,0.710909,0.613846,0.548022,0.469249,0.450982,0.436852,0.423646,0.365267,0.327605,0.354488,0.390695
Egypt Arab Rep.,2.62279,2.57729,2.60686,2.59171,2.4471,2.32952,2.13782,2.13104,1.8622,1.86672,2.13688,1.92623,1.90753,1.71493,1.64238,1.56492,1.41641,1.57073,1.39221,1.37165,1.34803,1.30746,1.37993,1.41749,1.4466,1.26995,1.29779,1.18763,1.20284,1.10954,1.00685,0.977169,0.914154,0.899552,0.837014,0.770579,0.660791,0.614326,0.672316,0.620343,0.596733,0.554637,0.660814,0.582184,0.8065,0.861547,0.816928,0.708801,0.62842,0.593632,0.573408
El Salvador,1.00488,1.04729,1.06402,1.12652,1.12295,1.0628,1.05217,1.08684,1.0052,0.993747,0.963705,0.961157,0.98595,0.983883,0.843061,0.918662,0.780193,0.695098,0.62213,0.595475,0.489919,0.491311,0.475335,0.477162,0.392818,0.397199,0.325255,0.390627,0.36787,0.387265,0.457927,0.521743,0.53126,0.518348,0.511266,0.49819,0.476915,0.487651,0.426527,0.393804,0.382836,0.327782,0.356611,0.3369,0.390654,0.321076,0.391773,0.369496,0.21997,0.203946,0.223487
Equatorial Guinea,6.72122,6.82635,6.84332,7.49891,7.6465,7.80603,8.90494,10.584,9.03118,5.78936,0.877511,0.942,0.346696,0.622464,0.257114,0.298785,0.0857772,0.248377,0.54139,0.521935,0.323688,0.323837,0.302303,0.290398,0.245766,0.211036,0.274565,0.228924,0.292452,0.299401,0.265979,0.289802,0.323454,0.282796,0.272786,0.261668,0.205708,0.111809,0.320155,0.231672,0.126055,0.150691,0.101613,0.0908817,0.0931826,0.108883,0.0969582,0.0983524,0.0852989,0.0862485,0.0872697
Ethiopia,0.074565,0.0784939,0.0770938,0.0735308,0.069227,0.0663425,0.070799,0.0687152,0.0640626,0.0634038,0.088309,0.0791025,0.0806277,0.0705748,0.0634078,0.0377481,0.0539421,0.0567665,0.0575753,0.0600061,0.0628178,0.0608859,0.0595157,0.0593772,0.0526085,0.0445142,0.0421541,0.0482105,0.039921,0.0517117,0.051715,0.0534608,0.0402723,0.0311988,0.0355128,0.0371542,0.0545622,0.0564888,0.0467265,0.0633184,0.0582023,0.0603354,0.0640986,0.0408829,0.0321778,0.0258017,0.0166839,0.0177199,0.0170548,0.0150425,0.0158922
